, ,Number of genomes,gene_class
11925,Cluster 11925,2,unique
11926,Cluster 11926,1,unique
11927,Cluster 11927,2,unique
11928,Cluster 11928,19,accessory
11929,Cluster 11929,1,unique
11930,Cluster 11930,1,unique
11931,Cluster 11931,2,unique
11932,Cluster 11932,3,unique
11933,Cluster 11933,2,unique
11934,Cluster 11934,2,unique
11935,Cluster 11935,2,unique
11936,Cluster 11936,1,unique
11937,Cluster 11937,1,unique
11938,Cluster 11938,1,unique
11939,Cluster 11939,1,unique
11940,Cluster 11940,1,unique
11941,Cluster 11941,63,accessory
11942,Cluster 11942,63,accessory
11943,Cluster 11943,14,accessory
11944,Cluster 11944,1,unique
11945,Cluster 11945,10,unique
11946,Cluster 11946,45,accessory
11947,Cluster 11947,4,unique
11948,Cluster 11948,5,unique
11949,Cluster 11949,35,accessory
11950,Cluster 11950,31,accessory
11951,Cluster 11951,4,unique
11952,Cluster 11952,26,accessory
11953,Cluster 11953,25,accessory
11954,Cluster 11954,5,unique
11955,Cluster 11955,7,unique
11956,Cluster 11956,1,unique
11957,Cluster 11957,6,unique
11958,Cluster 11958,4,unique
11959,Cluster 11959,22,accessory
11960,Cluster 11960,1,unique
11961,Cluster 11961,6,unique
11962,Cluster 11962,28,accessory
11963,Cluster 11963,5,unique
11964,Cluster 11964,3,unique
11965,Cluster 11965,1,unique
11966,Cluster 11966,5,unique
11967,Cluster 11967,1,unique
11968,Cluster 11968,4,unique
11969,Cluster 11969,4,unique
11970,Cluster 11970,5,unique
11971,Cluster 11971,1,unique
11972,Cluster 11972,3,unique
11973,Cluster 11973,1,unique
11974,Cluster 11974,1,unique
11975,Cluster 11975,2,unique
11976,Cluster 11976,4,unique
11977,Cluster 11977,1,unique
11978,Cluster 11978,2,unique
11979,Cluster 11979,1,unique
11980,Cluster 11980,75,accessory
11981,Cluster 11981,1,unique
11982,Cluster 11982,1,unique
11983,Cluster 11983,1,unique
11984,Cluster 11984,1,unique
11985,Cluster 11985,2,unique
11986,Cluster 11986,2,unique
11987,Cluster 11987,3,unique
11988,Cluster 11988,1,unique
11989,Cluster 11989,1,unique
11990,Cluster 11990,1,unique
11991,Cluster 11991,1,unique
11992,Cluster 11992,1,unique
11993,Cluster 11993,63,accessory
11994,Cluster 11994,63,accessory
11995,Cluster 11995,63,accessory
11996,Cluster 11996,63,accessory
11997,Cluster 11997,62,accessory
11998,Cluster 11998,5,unique
11999,Cluster 11999,3,unique
12000,Cluster 12000,2,unique
12001,Cluster 12001,2,unique
12002,Cluster 12002,8,unique
12003,Cluster 12003,1,unique
12004,Cluster 12004,22,accessory
12005,Cluster 12005,13,unique
12006,Cluster 12006,63,accessory
12007,Cluster 12007,22,accessory
12008,Cluster 12008,10,unique
12009,Cluster 12009,2,unique
12010,Cluster 12010,2,unique
12011,Cluster 12011,1,unique
12012,Cluster 12012,1,unique
12013,Cluster 12013,4,unique
12014,Cluster 12014,13,unique
12015,Cluster 12015,17,accessory
12016,Cluster 12016,8,unique
12017,Cluster 12017,4,unique
12018,Cluster 12018,5,unique
12019,Cluster 12019,5,unique
12020,Cluster 12020,5,unique
12021,Cluster 12021,4,unique
12022,Cluster 12022,5,unique
12023,Cluster 12023,75,accessory
12024,Cluster 12024,3,unique
12025,Cluster 12025,61,accessory
12026,Cluster 12026,7,unique
12027,Cluster 12027,1,unique
12028,Cluster 12028,1,unique
12029,Cluster 12029,11,unique
12030,Cluster 12030,3,unique
12031,Cluster 12031,1,unique
12032,Cluster 12032,1,unique
12033,Cluster 12033,2,unique
12034,Cluster 12034,6,unique
12035,Cluster 12035,2,unique
12036,Cluster 12036,155,accessory
12037,Cluster 12037,4,unique
12038,Cluster 12038,2,unique
12039,Cluster 12039,3,unique
12040,Cluster 12040,1,unique
12041,Cluster 12041,1,unique
12042,Cluster 12042,2,unique
12043,Cluster 12043,2,unique
12044,Cluster 12044,1,unique
12045,Cluster 12045,3,unique
12046,Cluster 12046,4,unique
12047,Cluster 12047,1,unique
12048,Cluster 12048,63,accessory
12049,Cluster 12049,32,accessory
12050,Cluster 12050,63,accessory
12051,Cluster 12051,62,accessory
12052,Cluster 12052,58,accessory
12053,Cluster 12053,13,unique
12054,Cluster 12054,3,unique
12055,Cluster 12055,13,unique
12056,Cluster 12056,17,accessory
12057,Cluster 12057,63,accessory
12058,Cluster 12058,3,unique
12059,Cluster 12059,17,accessory
12060,Cluster 12060,19,accessory
12061,Cluster 12061,2,unique
12062,Cluster 12062,3,unique
12063,Cluster 12063,5,unique
12064,Cluster 12064,2,unique
12065,Cluster 12065,4,unique
12066,Cluster 12066,34,accessory
12067,Cluster 12067,10,unique
12068,Cluster 12068,2,unique
12069,Cluster 12069,13,unique
12070,Cluster 12070,6,unique
12071,Cluster 12071,10,unique
12072,Cluster 12072,9,unique
12073,Cluster 12073,4,unique
12074,Cluster 12074,3,unique
12075,Cluster 12075,5,unique
12076,Cluster 12076,9,unique
12077,Cluster 12077,3,unique
12078,Cluster 12078,5,unique
12079,Cluster 12079,8,unique
12080,Cluster 12080,25,accessory
12081,Cluster 12081,1,unique
12082,Cluster 12082,1,unique
12083,Cluster 12083,5,unique
12084,Cluster 12084,1,unique
12085,Cluster 12085,3,unique
12086,Cluster 12086,3,unique
12087,Cluster 12087,3,unique
12088,Cluster 12088,1,unique
12089,Cluster 12089,3,unique
12090,Cluster 12090,1,unique
12091,Cluster 12091,3,unique
12092,Cluster 12092,26,accessory
12093,Cluster 12093,2,unique
12094,Cluster 12094,1,unique
12095,Cluster 12095,1,unique
12096,Cluster 12096,1,unique
12097,Cluster 12097,1,unique
12098,Cluster 12098,1,unique
12099,Cluster 12099,63,accessory
12100,Cluster 12100,63,accessory
12101,Cluster 12101,63,accessory
12102,Cluster 12102,63,accessory
12103,Cluster 12103,7,unique
12104,Cluster 12104,38,accessory
12105,Cluster 12105,22,accessory
12106,Cluster 12106,63,accessory
12107,Cluster 12107,63,accessory
12108,Cluster 12108,16,accessory
12109,Cluster 12109,63,accessory
12110,Cluster 12110,62,accessory
12111,Cluster 12111,6,unique
12112,Cluster 12112,9,unique
12113,Cluster 12113,2,unique
12114,Cluster 12114,23,accessory
12115,Cluster 12115,50,accessory
12116,Cluster 12116,7,unique
12117,Cluster 12117,6,unique
12118,Cluster 12118,5,unique
12119,Cluster 12119,18,accessory
12120,Cluster 12120,19,accessory
12121,Cluster 12121,15,accessory
12122,Cluster 12122,6,unique
12123,Cluster 12123,2,unique
12124,Cluster 12124,19,accessory
12125,Cluster 12125,1,unique
12126,Cluster 12126,8,unique
12127,Cluster 12127,21,accessory
12128,Cluster 12128,1,unique
12129,Cluster 12129,2,unique
12130,Cluster 12130,4,unique
12131,Cluster 12131,3,unique
12132,Cluster 12132,20,accessory
12133,Cluster 12133,3,unique
12134,Cluster 12134,3,unique
12135,Cluster 12135,1,unique
12136,Cluster 12136,1,unique
12137,Cluster 12137,1,unique
12138,Cluster 12138,2,unique
12139,Cluster 12139,1,unique
12140,Cluster 12140,2,unique
12141,Cluster 12141,1,unique
12142,Cluster 12142,1,unique
12143,Cluster 12143,1,unique
12144,Cluster 12144,1,unique
12145,Cluster 12145,2,unique
12146,Cluster 12146,4,unique
12147,Cluster 12147,1,unique
12148,Cluster 12148,1,unique
12149,Cluster 12149,2,unique
12150,Cluster 12150,1,unique
12151,Cluster 12151,9,unique
12152,Cluster 12152,2,unique
12153,Cluster 12153,2,unique
12154,Cluster 12154,2,unique
12155,Cluster 12155,1,unique
12156,Cluster 12156,1,unique
12157,Cluster 12157,63,accessory
12158,Cluster 12158,63,accessory
12159,Cluster 12159,37,accessory
12160,Cluster 12160,63,accessory
12161,Cluster 12161,20,accessory
12162,Cluster 12162,38,accessory
12163,Cluster 12163,63,accessory
12164,Cluster 12164,19,accessory
12165,Cluster 12165,10,unique
12166,Cluster 12166,35,accessory
12167,Cluster 12167,63,accessory
12168,Cluster 12168,63,accessory
12169,Cluster 12169,12,unique
12170,Cluster 12170,3,unique
12171,Cluster 12171,1,unique
12172,Cluster 12172,10,unique
12173,Cluster 12173,2,unique
12174,Cluster 12174,2,unique
12175,Cluster 12175,29,accessory
12176,Cluster 12176,2,unique
12177,Cluster 12177,36,accessory
12178,Cluster 12178,43,accessory
12179,Cluster 12179,30,accessory
12180,Cluster 12180,20,accessory
12181,Cluster 12181,10,unique
12182,Cluster 12182,2,unique
12183,Cluster 12183,7,unique
12184,Cluster 12184,14,accessory
12185,Cluster 12185,4,unique
12186,Cluster 12186,4,unique
12187,Cluster 12187,1,unique
12188,Cluster 12188,13,unique
12189,Cluster 12189,7,unique
12190,Cluster 12190,8,unique
12191,Cluster 12191,1,unique
12192,Cluster 12192,6,unique
12193,Cluster 12193,6,unique
12194,Cluster 12194,1,unique
12195,Cluster 12195,3,unique
12196,Cluster 12196,7,unique
12197,Cluster 12197,1,unique
12198,Cluster 12198,2,unique
12199,Cluster 12199,2,unique
12200,Cluster 12200,1,unique
12201,Cluster 12201,6,unique
12202,Cluster 12202,1,unique
12203,Cluster 12203,3,unique
12204,Cluster 12204,1,unique
12205,Cluster 12205,1,unique
12206,Cluster 12206,1,unique
12207,Cluster 12207,1,unique
12208,Cluster 12208,1,unique
12209,Cluster 12209,3,unique
12210,Cluster 12210,2,unique
12211,Cluster 12211,19,accessory
12212,Cluster 12212,1,unique
12213,Cluster 12213,1,unique
12214,Cluster 12214,2,unique
12215,Cluster 12215,1,unique
12216,Cluster 12216,2,unique
12217,Cluster 12217,1,unique
12218,Cluster 12218,1,unique
12219,Cluster 12219,1,unique
12220,Cluster 12220,1,unique
12221,Cluster 12221,1,unique
12222,Cluster 12222,1,unique
12223,Cluster 12223,63,accessory
12224,Cluster 12224,63,accessory
12225,Cluster 12225,63,accessory
12226,Cluster 12226,63,accessory
12227,Cluster 12227,63,accessory
12228,Cluster 12228,9,unique
12229,Cluster 12229,63,accessory
12230,Cluster 12230,13,unique
12231,Cluster 12231,31,accessory
12232,Cluster 12232,63,accessory
12233,Cluster 12233,3,unique
12234,Cluster 12234,42,accessory
12235,Cluster 12235,10,unique
12236,Cluster 12236,20,accessory
12237,Cluster 12237,2,unique
12238,Cluster 12238,5,unique
12239,Cluster 12239,2,unique
12240,Cluster 12240,32,accessory
12241,Cluster 12241,1,unique
12242,Cluster 12242,1,unique
12243,Cluster 12243,19,accessory
12244,Cluster 12244,3,unique
12245,Cluster 12245,62,accessory
12246,Cluster 12246,19,accessory
12247,Cluster 12247,2,unique
12248,Cluster 12248,9,unique
12249,Cluster 12249,2,unique
12250,Cluster 12250,1,unique
12251,Cluster 12251,5,unique
12252,Cluster 12252,2,unique
12253,Cluster 12253,3,unique
12254,Cluster 12254,3,unique
12255,Cluster 12255,3,unique
12256,Cluster 12256,4,unique
12257,Cluster 12257,1,unique
12258,Cluster 12258,2,unique
12259,Cluster 12259,2,unique
12260,Cluster 12260,3,unique
12261,Cluster 12261,4,unique
12262,Cluster 12262,2,unique
12263,Cluster 12263,5,unique
12264,Cluster 12264,22,accessory
12265,Cluster 12265,4,unique
12266,Cluster 12266,1,unique
12267,Cluster 12267,1,unique
12268,Cluster 12268,1,unique
12269,Cluster 12269,1,unique
12270,Cluster 12270,1,unique
12271,Cluster 12271,2,unique
12272,Cluster 12272,2,unique
12273,Cluster 12273,1,unique
12274,Cluster 12274,1,unique
12275,Cluster 12275,1,unique
12276,Cluster 12276,1,unique
12277,Cluster 12277,1,unique
12278,Cluster 12278,1,unique
12279,Cluster 12279,1,unique
12280,Cluster 12280,1,unique
12281,Cluster 12281,1,unique
12282,Cluster 12282,55,accessory
12283,Cluster 12283,63,accessory
12284,Cluster 12284,63,accessory
12285,Cluster 12285,63,accessory
12286,Cluster 12286,63,accessory
12287,Cluster 12287,52,accessory
12288,Cluster 12288,63,accessory
12289,Cluster 12289,63,accessory
12290,Cluster 12290,6,unique
12291,Cluster 12291,7,unique
12292,Cluster 12292,41,accessory
12293,Cluster 12293,58,accessory
12294,Cluster 12294,4,unique
12295,Cluster 12295,12,unique
12296,Cluster 12296,2,unique
12297,Cluster 12297,8,unique
12298,Cluster 12298,1,unique
12299,Cluster 12299,16,accessory
12300,Cluster 12300,9,unique
12301,Cluster 12301,5,unique
12302,Cluster 12302,2,unique
12303,Cluster 12303,1,unique
12304,Cluster 12304,1,unique
12305,Cluster 12305,1,unique
12306,Cluster 12306,4,unique
12307,Cluster 12307,4,unique
12308,Cluster 12308,1,unique
12309,Cluster 12309,1,unique
12310,Cluster 12310,1,unique
12311,Cluster 12311,18,accessory
12312,Cluster 12312,32,accessory
12313,Cluster 12313,10,unique
12314,Cluster 12314,3,unique
12315,Cluster 12315,5,unique
12316,Cluster 12316,1,unique
12317,Cluster 12317,2,unique
12318,Cluster 12318,3,unique
12319,Cluster 12319,2,unique
12320,Cluster 12320,1,unique
12321,Cluster 12321,1,unique
12322,Cluster 12322,2,unique
12323,Cluster 12323,1,unique
12324,Cluster 12324,1,unique
12325,Cluster 12325,3,unique
12326,Cluster 12326,2,unique
12327,Cluster 12327,2,unique
12328,Cluster 12328,1,unique
12329,Cluster 12329,1,unique
12330,Cluster 12330,2,unique
12331,Cluster 12331,3,unique
12332,Cluster 12332,1,unique
12333,Cluster 12333,1,unique
12334,Cluster 12334,62,accessory
12335,Cluster 12335,9,unique
12336,Cluster 12336,17,accessory
12337,Cluster 12337,63,accessory
12338,Cluster 12338,29,accessory
12339,Cluster 12339,63,accessory
12340,Cluster 12340,55,accessory
12341,Cluster 12341,3,unique
12342,Cluster 12342,3,unique
12343,Cluster 12343,6,unique
12344,Cluster 12344,13,unique
12345,Cluster 12345,11,unique
12346,Cluster 12346,2,unique
12347,Cluster 12347,3,unique
12348,Cluster 12348,6,unique
12349,Cluster 12349,17,accessory
12350,Cluster 12350,26,accessory
12351,Cluster 12351,15,accessory
12352,Cluster 12352,26,accessory
12353,Cluster 12353,5,unique
12354,Cluster 12354,22,accessory
12355,Cluster 12355,2,unique
12356,Cluster 12356,2,unique
12357,Cluster 12357,1,unique
12358,Cluster 12358,4,unique
12359,Cluster 12359,1,unique
12360,Cluster 12360,1,unique
12361,Cluster 12361,1,unique
12362,Cluster 12362,2,unique
12363,Cluster 12363,7,unique
12364,Cluster 12364,3,unique
12365,Cluster 12365,5,unique
12366,Cluster 12366,5,unique
12367,Cluster 12367,1,unique
12368,Cluster 12368,1,unique
12369,Cluster 12369,1,unique
12370,Cluster 12370,2,unique
12371,Cluster 12371,1,unique
12372,Cluster 12372,2,unique
12373,Cluster 12373,2,unique
12374,Cluster 12374,1,unique
12375,Cluster 12375,1,unique
12376,Cluster 12376,1,unique
12377,Cluster 12377,3,unique
12378,Cluster 12378,1,unique
12379,Cluster 12379,1,unique
12380,Cluster 12380,3,unique
12381,Cluster 12381,1,unique
12382,Cluster 12382,2,unique
12383,Cluster 12383,1,unique
12384,Cluster 12384,7,unique
12385,Cluster 12385,1,unique
12386,Cluster 12386,1,unique
12387,Cluster 12387,2,unique
12388,Cluster 12388,1,unique
12389,Cluster 12389,1,unique
12390,Cluster 12390,1,unique
12391,Cluster 12391,1,unique
12392,Cluster 12392,1,unique
12393,Cluster 12393,1,unique
12394,Cluster 12394,2,unique
12395,Cluster 12395,1,unique
12396,Cluster 12396,1,unique
12397,Cluster 12397,1,unique
12398,Cluster 12398,1,unique
12399,Cluster 12399,1,unique
12400,Cluster 12400,63,accessory
12401,Cluster 12401,63,accessory
12402,Cluster 12402,63,accessory
12403,Cluster 12403,63,accessory
12404,Cluster 12404,19,accessory
12405,Cluster 12405,63,accessory
12406,Cluster 12406,35,accessory
12407,Cluster 12407,32,accessory
12408,Cluster 12408,63,accessory
12409,Cluster 12409,3,unique
12410,Cluster 12410,17,accessory
12411,Cluster 12411,12,unique
12412,Cluster 12412,12,unique
12413,Cluster 12413,17,accessory
12414,Cluster 12414,7,unique
12415,Cluster 12415,2,unique
12416,Cluster 12416,30,accessory
12417,Cluster 12417,22,accessory
12418,Cluster 12418,23,accessory
12419,Cluster 12419,2,unique
12420,Cluster 12420,3,unique
12421,Cluster 12421,1,unique
12422,Cluster 12422,1,unique
12423,Cluster 12423,35,accessory
12424,Cluster 12424,6,unique
12425,Cluster 12425,2,unique
12426,Cluster 12426,5,unique
12427,Cluster 12427,13,unique
12428,Cluster 12428,5,unique
12429,Cluster 12429,1,unique
12430,Cluster 12430,2,unique
12431,Cluster 12431,18,accessory
12432,Cluster 12432,16,accessory
12433,Cluster 12433,9,unique
12434,Cluster 12434,1,unique
12435,Cluster 12435,2,unique
12436,Cluster 12436,2,unique
12437,Cluster 12437,1,unique
12438,Cluster 12438,2,unique
12439,Cluster 12439,1,unique
12440,Cluster 12440,2,unique
12441,Cluster 12441,1,unique
12442,Cluster 12442,1,unique
12443,Cluster 12443,1,unique
12444,Cluster 12444,1,unique
12445,Cluster 12445,1,unique
12446,Cluster 12446,2,unique
12447,Cluster 12447,5,unique
12448,Cluster 12448,2,unique
12449,Cluster 12449,2,unique
12450,Cluster 12450,1,unique
12451,Cluster 12451,1,unique
12452,Cluster 12452,1,unique
12453,Cluster 12453,1,unique
12454,Cluster 12454,1,unique
12455,Cluster 12455,1,unique
12456,Cluster 12456,33,accessory
12457,Cluster 12457,1,unique
12458,Cluster 12458,3,unique
12459,Cluster 12459,1,unique
12460,Cluster 12460,7,unique
12461,Cluster 12461,2,unique
12462,Cluster 12462,1,unique
12463,Cluster 12463,3,unique
12464,Cluster 12464,3,unique
12465,Cluster 12465,2,unique
12466,Cluster 12466,2,unique
12467,Cluster 12467,2,unique
12468,Cluster 12468,3,unique
12469,Cluster 12469,1,unique
12470,Cluster 12470,1,unique
12471,Cluster 12471,1,unique
12472,Cluster 12472,57,accessory
12473,Cluster 12473,63,accessory
12474,Cluster 12474,1,unique
12475,Cluster 12475,63,accessory
12476,Cluster 12476,56,accessory
12477,Cluster 12477,63,accessory
12478,Cluster 12478,63,accessory
12479,Cluster 12479,63,accessory
12480,Cluster 12480,63,accessory
12481,Cluster 12481,63,accessory
12482,Cluster 12482,63,accessory
12483,Cluster 12483,1,unique
12484,Cluster 12484,1,unique
12485,Cluster 12485,17,accessory
12486,Cluster 12486,2,unique
12487,Cluster 12487,6,unique
12488,Cluster 12488,3,unique
12489,Cluster 12489,18,accessory
12490,Cluster 12490,19,accessory
12491,Cluster 12491,10,unique
12492,Cluster 12492,2,unique
12493,Cluster 12493,1,unique
12494,Cluster 12494,2,unique
12495,Cluster 12495,18,accessory
12496,Cluster 12496,9,unique
12497,Cluster 12497,1,unique
12498,Cluster 12498,28,accessory
12499,Cluster 12499,25,accessory
12500,Cluster 12500,12,unique
12501,Cluster 12501,14,accessory
12502,Cluster 12502,5,unique
12503,Cluster 12503,5,unique
12504,Cluster 12504,5,unique
12505,Cluster 12505,4,unique
12506,Cluster 12506,1,unique
12507,Cluster 12507,2,unique
12508,Cluster 12508,2,unique
12509,Cluster 12509,1,unique
12510,Cluster 12510,1,unique
12511,Cluster 12511,3,unique
12512,Cluster 12512,2,unique
12513,Cluster 12513,2,unique
12514,Cluster 12514,3,unique
12515,Cluster 12515,1,unique
12516,Cluster 12516,1,unique
12517,Cluster 12517,1,unique
12518,Cluster 12518,1,unique
12519,Cluster 12519,1,unique
12520,Cluster 12520,2,unique
12521,Cluster 12521,1,unique
12522,Cluster 12522,3,unique
12523,Cluster 12523,2,unique
12524,Cluster 12524,1,unique
12525,Cluster 12525,63,accessory
12526,Cluster 12526,63,accessory
12527,Cluster 12527,63,accessory
12528,Cluster 12528,62,accessory
12529,Cluster 12529,3,unique
12530,Cluster 12530,63,accessory
12531,Cluster 12531,63,accessory
12532,Cluster 12532,63,accessory
12533,Cluster 12533,63,accessory
12534,Cluster 12534,80,accessory
12535,Cluster 12535,63,accessory
12536,Cluster 12536,16,accessory
12537,Cluster 12537,2,unique
12538,Cluster 12538,63,accessory
12539,Cluster 12539,9,unique
12540,Cluster 12540,2,unique
12541,Cluster 12541,19,accessory
12542,Cluster 12542,8,unique
12543,Cluster 12543,3,unique
12544,Cluster 12544,3,unique
12545,Cluster 12545,15,accessory
12546,Cluster 12546,22,accessory
12547,Cluster 12547,25,accessory
12548,Cluster 12548,15,accessory
12549,Cluster 12549,6,unique
12550,Cluster 12550,1,unique
12551,Cluster 12551,2,unique
12552,Cluster 12552,1,unique
12553,Cluster 12553,1,unique
12554,Cluster 12554,12,unique
12555,Cluster 12555,4,unique
12556,Cluster 12556,19,accessory
12557,Cluster 12557,4,unique
12558,Cluster 12558,3,unique
12559,Cluster 12559,2,unique
12560,Cluster 12560,7,unique
12561,Cluster 12561,1,unique
12562,Cluster 12562,4,unique
12563,Cluster 12563,7,unique
12564,Cluster 12564,1,unique
12565,Cluster 12565,4,unique
12566,Cluster 12566,1,unique
12567,Cluster 12567,2,unique
12568,Cluster 12568,2,unique
12569,Cluster 12569,1,unique
12570,Cluster 12570,1,unique
12571,Cluster 12571,1,unique
12572,Cluster 12572,1,unique
12573,Cluster 12573,1,unique
12574,Cluster 12574,1,unique
12575,Cluster 12575,2,unique
12576,Cluster 12576,4,unique
12577,Cluster 12577,2,unique
12578,Cluster 12578,1,unique
12579,Cluster 12579,1,unique
12580,Cluster 12580,1,unique
12581,Cluster 12581,1,unique
12582,Cluster 12582,63,accessory
12583,Cluster 12583,63,accessory
12584,Cluster 12584,17,accessory
12585,Cluster 12585,30,accessory
12586,Cluster 12586,35,accessory
12587,Cluster 12587,63,accessory
12588,Cluster 12588,63,accessory
12589,Cluster 12589,63,accessory
12590,Cluster 12590,2,unique
12591,Cluster 12591,10,unique
12592,Cluster 12592,6,unique
12593,Cluster 12593,2,unique
12594,Cluster 12594,9,unique
12595,Cluster 12595,1,unique
12596,Cluster 12596,4,unique
12597,Cluster 12597,5,unique
12598,Cluster 12598,15,accessory
12599,Cluster 12599,26,accessory
12600,Cluster 12600,23,accessory
12601,Cluster 12601,25,accessory
12602,Cluster 12602,5,unique
12603,Cluster 12603,23,accessory
12604,Cluster 12604,2,unique
12605,Cluster 12605,5,unique
12606,Cluster 12606,1,unique
12607,Cluster 12607,1,unique
12608,Cluster 12608,3,unique
12609,Cluster 12609,1,unique
12610,Cluster 12610,2,unique
12611,Cluster 12611,1,unique
12612,Cluster 12612,1,unique
12613,Cluster 12613,1,unique
12614,Cluster 12614,2,unique
12615,Cluster 12615,2,unique
12616,Cluster 12616,2,unique
12617,Cluster 12617,10,unique
12618,Cluster 12618,1,unique
12619,Cluster 12619,1,unique
12620,Cluster 12620,1,unique
12621,Cluster 12621,1,unique
12622,Cluster 12622,1,unique
12623,Cluster 12623,2,unique
12624,Cluster 12624,2,unique
12625,Cluster 12625,1,unique
12626,Cluster 12626,2,unique
12627,Cluster 12627,1,unique
12628,Cluster 12628,1,unique
12629,Cluster 12629,1,unique
12630,Cluster 12630,2,unique
12631,Cluster 12631,1,unique
12632,Cluster 12632,1,unique
12633,Cluster 12633,2,unique
12634,Cluster 12634,1,unique
12635,Cluster 12635,1,unique
12636,Cluster 12636,1,unique
12637,Cluster 12637,2,unique
12638,Cluster 12638,1,unique
12639,Cluster 12639,3,unique
12640,Cluster 12640,1,unique
12641,Cluster 12641,1,unique
12642,Cluster 12642,1,unique
12643,Cluster 12643,1,unique
12644,Cluster 12644,1,unique
12645,Cluster 12645,63,accessory
12646,Cluster 12646,63,accessory
12647,Cluster 12647,63,accessory
12648,Cluster 12648,63,accessory
12649,Cluster 12649,63,accessory
12650,Cluster 12650,63,accessory
12651,Cluster 12651,63,accessory
12652,Cluster 12652,8,unique
12653,Cluster 12653,31,accessory
12654,Cluster 12654,7,unique
12655,Cluster 12655,29,accessory
12656,Cluster 12656,28,accessory
12657,Cluster 12657,6,unique
12658,Cluster 12658,12,unique
12659,Cluster 12659,22,accessory
12660,Cluster 12660,10,unique
12661,Cluster 12661,2,unique
12662,Cluster 12662,13,unique
12663,Cluster 12663,1,unique
12664,Cluster 12664,8,unique
12665,Cluster 12665,3,unique
12666,Cluster 12666,1,unique
12667,Cluster 12667,1,unique
12668,Cluster 12668,7,unique
12669,Cluster 12669,1,unique
12670,Cluster 12670,2,unique
12671,Cluster 12671,3,unique
12672,Cluster 12672,2,unique
12673,Cluster 12673,1,unique
12674,Cluster 12674,1,unique
12675,Cluster 12675,5,unique
12676,Cluster 12676,1,unique
12677,Cluster 12677,1,unique
12678,Cluster 12678,7,unique
12679,Cluster 12679,5,unique
12680,Cluster 12680,1,unique
12681,Cluster 12681,1,unique
12682,Cluster 12682,1,unique
12683,Cluster 12683,1,unique
12684,Cluster 12684,1,unique
12685,Cluster 12685,1,unique
12686,Cluster 12686,2,unique
12687,Cluster 12687,2,unique
12688,Cluster 12688,60,accessory
12689,Cluster 12689,2,unique
12690,Cluster 12690,1,unique
12691,Cluster 12691,2,unique
12692,Cluster 12692,1,unique
12693,Cluster 12693,1,unique
12694,Cluster 12694,1,unique
12695,Cluster 12695,1,unique
12696,Cluster 12696,2,unique
12697,Cluster 12697,1,unique
12698,Cluster 12698,1,unique
12699,Cluster 12699,1,unique
12700,Cluster 12700,1,unique
12701,Cluster 12701,1,unique
12702,Cluster 12702,1,unique
12703,Cluster 12703,63,accessory
12704,Cluster 12704,63,accessory
12705,Cluster 12705,63,accessory
12706,Cluster 12706,33,accessory
12707,Cluster 12707,1,unique
12708,Cluster 12708,12,unique
12709,Cluster 12709,3,unique
12710,Cluster 12710,63,accessory
12711,Cluster 12711,63,accessory
12712,Cluster 12712,3,unique
12713,Cluster 12713,20,accessory
12714,Cluster 12714,17,accessory
12715,Cluster 12715,63,accessory
12716,Cluster 12716,4,unique
12717,Cluster 12717,2,unique
12718,Cluster 12718,1,unique
12719,Cluster 12719,1,unique
12720,Cluster 12720,15,accessory
12721,Cluster 12721,5,unique
12722,Cluster 12722,1,unique
12723,Cluster 12723,7,unique
12724,Cluster 12724,2,unique
12725,Cluster 12725,5,unique
12726,Cluster 12726,5,unique
12727,Cluster 12727,3,unique
12728,Cluster 12728,1,unique
12729,Cluster 12729,1,unique
12730,Cluster 12730,5,unique
12731,Cluster 12731,1,unique
12732,Cluster 12732,2,unique
12733,Cluster 12733,2,unique
12734,Cluster 12734,1,unique
12735,Cluster 12735,3,unique
12736,Cluster 12736,1,unique
12737,Cluster 12737,2,unique
12738,Cluster 12738,2,unique
12739,Cluster 12739,1,unique
12740,Cluster 12740,1,unique
12741,Cluster 12741,1,unique
12742,Cluster 12742,1,unique
12743,Cluster 12743,1,unique
12744,Cluster 12744,1,unique
12745,Cluster 12745,3,unique
12746,Cluster 12746,2,unique
12747,Cluster 12747,2,unique
12748,Cluster 12748,1,unique
12749,Cluster 12749,16,accessory
12750,Cluster 12750,3,unique
12751,Cluster 12751,4,unique
12752,Cluster 12752,1,unique
12753,Cluster 12753,1,unique
12754,Cluster 12754,1,unique
12755,Cluster 12755,63,accessory
12756,Cluster 12756,63,accessory
12757,Cluster 12757,63,accessory
12758,Cluster 12758,62,accessory
12759,Cluster 12759,63,accessory
12760,Cluster 12760,6,unique
12761,Cluster 12761,63,accessory
12762,Cluster 12762,6,unique
12763,Cluster 12763,30,accessory
12764,Cluster 12764,11,unique
12765,Cluster 12765,21,accessory
12766,Cluster 12766,13,unique
12767,Cluster 12767,1,unique
12768,Cluster 12768,38,accessory
12769,Cluster 12769,56,accessory
12770,Cluster 12770,30,accessory
12771,Cluster 12771,21,accessory
12772,Cluster 12772,22,accessory
12773,Cluster 12773,16,accessory
12774,Cluster 12774,20,accessory
12775,Cluster 12775,6,unique
12776,Cluster 12776,9,unique
12777,Cluster 12777,2,unique
12778,Cluster 12778,1,unique
12779,Cluster 12779,1,unique
12780,Cluster 12780,2,unique
12781,Cluster 12781,1,unique
12782,Cluster 12782,2,unique
12783,Cluster 12783,6,unique
12784,Cluster 12784,1,unique
