, ,Number of genomes,gene_class
710,Cluster 710,22,accessory
711,Cluster 711,2,unique
712,Cluster 712,5,unique
713,Cluster 713,1,unique
714,Cluster 714,1,unique
715,Cluster 715,1,unique
716,Cluster 716,63,accessory
717,Cluster 717,63,accessory
718,Cluster 718,62,accessory
719,Cluster 719,38,accessory
720,Cluster 720,63,accessory
721,Cluster 721,38,accessory
722,Cluster 722,29,accessory
723,Cluster 723,2,unique
724,Cluster 724,6,unique
725,Cluster 725,1,unique
726,Cluster 726,63,accessory
727,Cluster 727,2,unique
728,Cluster 728,6,unique
729,Cluster 729,2,unique
730,Cluster 730,63,accessory
731,Cluster 731,63,accessory
732,Cluster 732,63,accessory
733,Cluster 733,1,unique
734,Cluster 734,3,unique
735,Cluster 735,3,unique
736,Cluster 736,5,unique
737,Cluster 737,7,unique
738,Cluster 738,1,unique
739,Cluster 739,1,unique
740,Cluster 740,4,unique
741,Cluster 741,2,unique
742,Cluster 742,1,unique
743,Cluster 743,1,unique
744,Cluster 744,9,unique
745,Cluster 745,1,unique
746,Cluster 746,2,unique
747,Cluster 747,3,unique
748,Cluster 748,63,accessory
749,Cluster 749,1,unique
750,Cluster 750,1,unique
751,Cluster 751,63,accessory
752,Cluster 752,63,accessory
753,Cluster 753,2,unique
754,Cluster 754,1,unique
755,Cluster 755,1,unique
756,Cluster 756,1,unique
757,Cluster 757,63,accessory
758,Cluster 758,3,unique
759,Cluster 759,63,accessory
760,Cluster 760,63,accessory
761,Cluster 761,19,accessory
762,Cluster 762,1,unique
763,Cluster 763,27,accessory
764,Cluster 764,59,accessory
765,Cluster 765,1,unique
766,Cluster 766,20,accessory
767,Cluster 767,8,unique
768,Cluster 768,63,accessory
769,Cluster 769,63,accessory
770,Cluster 770,28,accessory
771,Cluster 771,1,unique
772,Cluster 772,63,accessory
773,Cluster 773,5,unique
774,Cluster 774,1,unique
775,Cluster 775,63,accessory
776,Cluster 776,7,unique
777,Cluster 777,33,accessory
778,Cluster 778,2,unique
779,Cluster 779,3,unique
780,Cluster 780,63,accessory
781,Cluster 781,60,accessory
782,Cluster 782,9,unique
783,Cluster 783,5,unique
784,Cluster 784,2,unique
785,Cluster 785,3,unique
786,Cluster 786,17,accessory
787,Cluster 787,1,unique
788,Cluster 788,14,accessory
789,Cluster 789,1,unique
790,Cluster 790,63,accessory
791,Cluster 791,4,unique
792,Cluster 792,63,accessory
793,Cluster 793,6,unique
794,Cluster 794,10,unique
795,Cluster 795,2,unique
796,Cluster 796,62,accessory
797,Cluster 797,63,accessory
798,Cluster 798,41,accessory
799,Cluster 799,15,accessory
800,Cluster 800,1,unique
801,Cluster 801,3,unique
802,Cluster 802,1,unique
803,Cluster 803,63,accessory
804,Cluster 804,1,unique
805,Cluster 805,60,accessory
806,Cluster 806,63,accessory
