, ,Number of genomes
992,Cluster 992,63
993,Cluster 993,2
994,Cluster 994,2
995,Cluster 995,2
996,Cluster 996,1
997,Cluster 997,63
998,Cluster 998,6
999,Cluster 999,2
1000,Cluster 1000,1
1001,Cluster 1001,63
1002,Cluster 1002,3
1003,Cluster 1003,63
1004,Cluster 1004,57
1005,Cluster 1005,1
1006,Cluster 1006,63
1007,Cluster 1007,63
1008,Cluster 1008,30
1009,Cluster 1009,24
1010,Cluster 1010,9
1011,Cluster 1011,2
1012,Cluster 1012,1
1013,Cluster 1013,63
1014,Cluster 1014,63
1015,Cluster 1015,63
1016,Cluster 1016,61
1017,Cluster 1017,4
1018,Cluster 1018,5
1019,Cluster 1019,63
1020,Cluster 1020,63
1021,Cluster 1021,11
1022,Cluster 1022,1
1023,Cluster 1023,1
1024,Cluster 1024,1
1025,Cluster 1025,2
1026,Cluster 1026,1
1027,Cluster 1027,63
1028,Cluster 1028,2
1029,Cluster 1029,4
1030,Cluster 1030,1
1031,Cluster 1031,4
1032,Cluster 1032,3
1033,Cluster 1033,63
1034,Cluster 1034,63
1035,Cluster 1035,2
1036,Cluster 1036,2
1037,Cluster 1037,63
1038,Cluster 1038,61
1039,Cluster 1039,63
1040,Cluster 1040,63
1041,Cluster 1041,5
1042,Cluster 1042,1
1043,Cluster 1043,63
1044,Cluster 1044,4
1045,Cluster 1045,25
1046,Cluster 1046,1
1047,Cluster 1047,1
1048,Cluster 1048,10
1049,Cluster 1049,62
1050,Cluster 1050,6
1051,Cluster 1051,8
1052,Cluster 1052,1
1053,Cluster 1053,1
1054,Cluster 1054,63
1055,Cluster 1055,63
1056,Cluster 1056,14
1057,Cluster 1057,4
1058,Cluster 1058,63
1059,Cluster 1059,61
1060,Cluster 1060,63
1061,Cluster 1061,24
1062,Cluster 1062,2
1063,Cluster 1063,1
1064,Cluster 1064,1
1065,Cluster 1065,63
1066,Cluster 1066,2
1067,Cluster 1067,63
1068,Cluster 1068,57
1069,Cluster 1069,57
1070,Cluster 1070,3
1071,Cluster 1071,16
1072,Cluster 1072,63
1073,Cluster 1073,63
1074,Cluster 1074,1
1075,Cluster 1075,4
1076,Cluster 1076,63
1077,Cluster 1077,30
1078,Cluster 1078,2
