, ,Number of genomes
12043,Cluster 12043,2
12044,Cluster 12044,1
12045,Cluster 12045,3
12046,Cluster 12046,4
12047,Cluster 12047,1
12048,Cluster 12048,63
12049,Cluster 12049,32
12050,Cluster 12050,63
12051,Cluster 12051,62
12052,Cluster 12052,58
12053,Cluster 12053,13
12054,Cluster 12054,3
12055,Cluster 12055,13
12056,Cluster 12056,17
12057,Cluster 12057,63
12058,Cluster 12058,3
12059,Cluster 12059,17
12060,Cluster 12060,19
12061,Cluster 12061,2
12062,Cluster 12062,3
12063,Cluster 12063,5
12064,Cluster 12064,2
12065,Cluster 12065,4
12066,Cluster 12066,34
12067,Cluster 12067,10
12068,Cluster 12068,2
12069,Cluster 12069,13
12070,Cluster 12070,6
12071,Cluster 12071,10
12072,Cluster 12072,9
12073,Cluster 12073,4
12074,Cluster 12074,3
12075,Cluster 12075,5
12076,Cluster 12076,9
12077,Cluster 12077,3
12078,Cluster 12078,5
12079,Cluster 12079,8
12080,Cluster 12080,25
12081,Cluster 12081,1
12082,Cluster 12082,1
12083,Cluster 12083,5
12084,Cluster 12084,1
12085,Cluster 12085,3
12086,Cluster 12086,3
12087,Cluster 12087,3
12088,Cluster 12088,1
12089,Cluster 12089,3
12090,Cluster 12090,1
12091,Cluster 12091,3
12092,Cluster 12092,26
12093,Cluster 12093,2
12094,Cluster 12094,1
12095,Cluster 12095,1
12096,Cluster 12096,1
12097,Cluster 12097,1
12098,Cluster 12098,1
12099,Cluster 12099,63
12100,Cluster 12100,63
12101,Cluster 12101,63
12102,Cluster 12102,63
12103,Cluster 12103,7
12104,Cluster 12104,38
12105,Cluster 12105,22
12106,Cluster 12106,63
12107,Cluster 12107,63
12108,Cluster 12108,16
12109,Cluster 12109,63
12110,Cluster 12110,62
12111,Cluster 12111,6
12112,Cluster 12112,9
12113,Cluster 12113,2
12114,Cluster 12114,23
12115,Cluster 12115,50
12116,Cluster 12116,7
12117,Cluster 12117,6
12118,Cluster 12118,5
12119,Cluster 12119,18
12120,Cluster 12120,19
12121,Cluster 12121,15
12122,Cluster 12122,6
12123,Cluster 12123,2
12124,Cluster 12124,19
12125,Cluster 12125,1
12126,Cluster 12126,8
12127,Cluster 12127,21
12128,Cluster 12128,1
12129,Cluster 12129,2
12130,Cluster 12130,4
12131,Cluster 12131,3
12132,Cluster 12132,20
12133,Cluster 12133,3
12134,Cluster 12134,3
12135,Cluster 12135,1
12136,Cluster 12136,1
12137,Cluster 12137,1
12138,Cluster 12138,2
12139,Cluster 12139,1
12140,Cluster 12140,2
12141,Cluster 12141,1
12142,Cluster 12142,1
12143,Cluster 12143,1
12144,Cluster 12144,1
12145,Cluster 12145,2
12146,Cluster 12146,4
12147,Cluster 12147,1
12148,Cluster 12148,1
12149,Cluster 12149,2
12150,Cluster 12150,1
12151,Cluster 12151,9
12152,Cluster 12152,2
12153,Cluster 12153,2
12154,Cluster 12154,2
12155,Cluster 12155,1
12156,Cluster 12156,1
12157,Cluster 12157,63
12158,Cluster 12158,63
12159,Cluster 12159,37
12160,Cluster 12160,63
12161,Cluster 12161,20
12162,Cluster 12162,38
12163,Cluster 12163,63
12164,Cluster 12164,19
12165,Cluster 12165,10
12166,Cluster 12166,35
12167,Cluster 12167,63
12168,Cluster 12168,63
12169,Cluster 12169,12
12170,Cluster 12170,3
12171,Cluster 12171,1
12172,Cluster 12172,10
12173,Cluster 12173,2
12174,Cluster 12174,2
12175,Cluster 12175,29
12176,Cluster 12176,2
12177,Cluster 12177,36
12178,Cluster 12178,43
12179,Cluster 12179,30
12180,Cluster 12180,20
12181,Cluster 12181,10
12182,Cluster 12182,2
12183,Cluster 12183,7
12184,Cluster 12184,14
12185,Cluster 12185,4
12186,Cluster 12186,4
12187,Cluster 12187,1
12188,Cluster 12188,13
12189,Cluster 12189,7
12190,Cluster 12190,8
12191,Cluster 12191,1
12192,Cluster 12192,6
12193,Cluster 12193,6
12194,Cluster 12194,1
12195,Cluster 12195,3
12196,Cluster 12196,7
12197,Cluster 12197,1
12198,Cluster 12198,2
12199,Cluster 12199,2
12200,Cluster 12200,1
12201,Cluster 12201,6
12202,Cluster 12202,1
12203,Cluster 12203,3
12204,Cluster 12204,1
12205,Cluster 12205,1
12206,Cluster 12206,1
12207,Cluster 12207,1
12208,Cluster 12208,1
12209,Cluster 12209,3
12210,Cluster 12210,2
12211,Cluster 12211,19
12212,Cluster 12212,1
12213,Cluster 12213,1
12214,Cluster 12214,2
12215,Cluster 12215,1
12216,Cluster 12216,2
12217,Cluster 12217,1
12218,Cluster 12218,1
12219,Cluster 12219,1
12220,Cluster 12220,1
12221,Cluster 12221,1
12222,Cluster 12222,1
12223,Cluster 12223,63
12224,Cluster 12224,63
12225,Cluster 12225,63
12226,Cluster 12226,63
12227,Cluster 12227,63
12228,Cluster 12228,9
12229,Cluster 12229,63
12230,Cluster 12230,13
12231,Cluster 12231,31
12232,Cluster 12232,63
12233,Cluster 12233,3
12234,Cluster 12234,42
12235,Cluster 12235,10
12236,Cluster 12236,20
12237,Cluster 12237,2
12238,Cluster 12238,5
12239,Cluster 12239,2
12240,Cluster 12240,32
12241,Cluster 12241,1
12242,Cluster 12242,1
12243,Cluster 12243,19
12244,Cluster 12244,3
12245,Cluster 12245,62
12246,Cluster 12246,19
12247,Cluster 12247,2
12248,Cluster 12248,9
12249,Cluster 12249,2
12250,Cluster 12250,1
12251,Cluster 12251,5
12252,Cluster 12252,2
12253,Cluster 12253,3
12254,Cluster 12254,3
12255,Cluster 12255,3
12256,Cluster 12256,4
12257,Cluster 12257,1
12258,Cluster 12258,2
12259,Cluster 12259,2
12260,Cluster 12260,3
12261,Cluster 12261,4
12262,Cluster 12262,2
12263,Cluster 12263,5
12264,Cluster 12264,22
12265,Cluster 12265,4
12266,Cluster 12266,1
12267,Cluster 12267,1
12268,Cluster 12268,1
12269,Cluster 12269,1
12270,Cluster 12270,1
12271,Cluster 12271,2
12272,Cluster 12272,2
12273,Cluster 12273,1
12274,Cluster 12274,1
12275,Cluster 12275,1
12276,Cluster 12276,1
12277,Cluster 12277,1
12278,Cluster 12278,1
12279,Cluster 12279,1
12280,Cluster 12280,1
12281,Cluster 12281,1
12282,Cluster 12282,55
12283,Cluster 12283,63
12284,Cluster 12284,63
12285,Cluster 12285,63
12286,Cluster 12286,63
12287,Cluster 12287,52
12288,Cluster 12288,63
12289,Cluster 12289,63
12290,Cluster 12290,6
12291,Cluster 12291,7
12292,Cluster 12292,41
12293,Cluster 12293,58
12294,Cluster 12294,4
12295,Cluster 12295,12
12296,Cluster 12296,2
12297,Cluster 12297,8
12298,Cluster 12298,1
12299,Cluster 12299,16
12300,Cluster 12300,9
12301,Cluster 12301,5
12302,Cluster 12302,2
12303,Cluster 12303,1
12304,Cluster 12304,1
12305,Cluster 12305,1
12306,Cluster 12306,4
12307,Cluster 12307,4
12308,Cluster 12308,1
12309,Cluster 12309,1
12310,Cluster 12310,1
12311,Cluster 12311,18
12312,Cluster 12312,32
12313,Cluster 12313,10
12314,Cluster 12314,3
12315,Cluster 12315,5
12316,Cluster 12316,1
12317,Cluster 12317,2
12318,Cluster 12318,3
12319,Cluster 12319,2
12320,Cluster 12320,1
12321,Cluster 12321,1
12322,Cluster 12322,2
12323,Cluster 12323,1
12324,Cluster 12324,1
12325,Cluster 12325,3
12326,Cluster 12326,2
12327,Cluster 12327,2
12328,Cluster 12328,1
12329,Cluster 12329,1
12330,Cluster 12330,2
12331,Cluster 12331,3
12332,Cluster 12332,1
12333,Cluster 12333,1
12334,Cluster 12334,62
12335,Cluster 12335,9
12336,Cluster 12336,17
12337,Cluster 12337,63
12338,Cluster 12338,29
12339,Cluster 12339,63
12340,Cluster 12340,55
12341,Cluster 12341,3
12342,Cluster 12342,3
12343,Cluster 12343,6
12344,Cluster 12344,13
12345,Cluster 12345,11
12346,Cluster 12346,2
12347,Cluster 12347,3
12348,Cluster 12348,6
12349,Cluster 12349,17
12350,Cluster 12350,26
12351,Cluster 12351,15
12352,Cluster 12352,26
12353,Cluster 12353,5
12354,Cluster 12354,22
12355,Cluster 12355,2
12356,Cluster 12356,2
12357,Cluster 12357,1
12358,Cluster 12358,4
12359,Cluster 12359,1
12360,Cluster 12360,1
12361,Cluster 12361,1
12362,Cluster 12362,2
12363,Cluster 12363,7
12364,Cluster 12364,3
12365,Cluster 12365,5
12366,Cluster 12366,5
12367,Cluster 12367,1
12368,Cluster 12368,1
12369,Cluster 12369,1
12370,Cluster 12370,2
12371,Cluster 12371,1
12372,Cluster 12372,2
12373,Cluster 12373,2
12374,Cluster 12374,1
12375,Cluster 12375,1
12376,Cluster 12376,1
12377,Cluster 12377,3
12378,Cluster 12378,1
12379,Cluster 12379,1
12380,Cluster 12380,3
12381,Cluster 12381,1
12382,Cluster 12382,2
12383,Cluster 12383,1
12384,Cluster 12384,7
12385,Cluster 12385,1
12386,Cluster 12386,1
12387,Cluster 12387,2
12388,Cluster 12388,1
12389,Cluster 12389,1
12390,Cluster 12390,1
12391,Cluster 12391,1
12392,Cluster 12392,1
12393,Cluster 12393,1
12394,Cluster 12394,2
12395,Cluster 12395,1
12396,Cluster 12396,1
12397,Cluster 12397,1
12398,Cluster 12398,1
12399,Cluster 12399,1
12400,Cluster 12400,63
12401,Cluster 12401,63
12402,Cluster 12402,63
12403,Cluster 12403,63
12404,Cluster 12404,19
12405,Cluster 12405,63
12406,Cluster 12406,35
12407,Cluster 12407,32
12408,Cluster 12408,63
12409,Cluster 12409,3
12410,Cluster 12410,17
12411,Cluster 12411,12
12412,Cluster 12412,12
12413,Cluster 12413,17
12414,Cluster 12414,7
12415,Cluster 12415,2
12416,Cluster 12416,30
12417,Cluster 12417,22
12418,Cluster 12418,23
12419,Cluster 12419,2
12420,Cluster 12420,3
12421,Cluster 12421,1
12422,Cluster 12422,1
12423,Cluster 12423,35
12424,Cluster 12424,6
12425,Cluster 12425,2
12426,Cluster 12426,5
12427,Cluster 12427,13
12428,Cluster 12428,5
12429,Cluster 12429,1
12430,Cluster 12430,2
12431,Cluster 12431,18
12432,Cluster 12432,16
12433,Cluster 12433,9
12434,Cluster 12434,1
12435,Cluster 12435,2
12436,Cluster 12436,2
12437,Cluster 12437,1
12438,Cluster 12438,2
12439,Cluster 12439,1
12440,Cluster 12440,2
12441,Cluster 12441,1
12442,Cluster 12442,1
12443,Cluster 12443,1
12444,Cluster 12444,1
12445,Cluster 12445,1
12446,Cluster 12446,2
12447,Cluster 12447,5
12448,Cluster 12448,2
12449,Cluster 12449,2
12450,Cluster 12450,1
12451,Cluster 12451,1
12452,Cluster 12452,1
12453,Cluster 12453,1
12454,Cluster 12454,1
12455,Cluster 12455,1
12456,Cluster 12456,33
12457,Cluster 12457,1
12458,Cluster 12458,3
12459,Cluster 12459,1
12460,Cluster 12460,7
12461,Cluster 12461,2
12462,Cluster 12462,1
12463,Cluster 12463,3
12464,Cluster 12464,3
12465,Cluster 12465,2
12466,Cluster 12466,2
12467,Cluster 12467,2
12468,Cluster 12468,3
12469,Cluster 12469,1
12470,Cluster 12470,1
12471,Cluster 12471,1
12472,Cluster 12472,57
12473,Cluster 12473,63
12474,Cluster 12474,1
12475,Cluster 12475,63
12476,Cluster 12476,56
12477,Cluster 12477,63
12478,Cluster 12478,63
12479,Cluster 12479,63
12480,Cluster 12480,63
12481,Cluster 12481,63
12482,Cluster 12482,63
12483,Cluster 12483,1
12484,Cluster 12484,1
12485,Cluster 12485,17
12486,Cluster 12486,2
12487,Cluster 12487,6
12488,Cluster 12488,3
12489,Cluster 12489,18
12490,Cluster 12490,19
12491,Cluster 12491,10
12492,Cluster 12492,2
12493,Cluster 12493,1
12494,Cluster 12494,2
12495,Cluster 12495,18
12496,Cluster 12496,9
12497,Cluster 12497,1
12498,Cluster 12498,28
12499,Cluster 12499,25
12500,Cluster 12500,12
12501,Cluster 12501,14
12502,Cluster 12502,5
12503,Cluster 12503,5
12504,Cluster 12504,5
12505,Cluster 12505,4
12506,Cluster 12506,1
12507,Cluster 12507,2
12508,Cluster 12508,2
12509,Cluster 12509,1
12510,Cluster 12510,1
12511,Cluster 12511,3
12512,Cluster 12512,2
12513,Cluster 12513,2
12514,Cluster 12514,3
12515,Cluster 12515,1
12516,Cluster 12516,1
12517,Cluster 12517,1
12518,Cluster 12518,1
12519,Cluster 12519,1
12520,Cluster 12520,2
12521,Cluster 12521,1
12522,Cluster 12522,3
12523,Cluster 12523,2
12524,Cluster 12524,1
12525,Cluster 12525,63
12526,Cluster 12526,63
12527,Cluster 12527,63
12528,Cluster 12528,62
12529,Cluster 12529,3
12530,Cluster 12530,63
12531,Cluster 12531,63
12532,Cluster 12532,63
12533,Cluster 12533,63
12534,Cluster 12534,80
12535,Cluster 12535,63
12536,Cluster 12536,16
12537,Cluster 12537,2
12538,Cluster 12538,63
12539,Cluster 12539,9
12540,Cluster 12540,2
12541,Cluster 12541,19
12542,Cluster 12542,8
12543,Cluster 12543,3
12544,Cluster 12544,3
12545,Cluster 12545,15
12546,Cluster 12546,22
12547,Cluster 12547,25
12548,Cluster 12548,15
12549,Cluster 12549,6
12550,Cluster 12550,1
12551,Cluster 12551,2
12552,Cluster 12552,1
12553,Cluster 12553,1
12554,Cluster 12554,12
12555,Cluster 12555,4
12556,Cluster 12556,19
12557,Cluster 12557,4
12558,Cluster 12558,3
12559,Cluster 12559,2
12560,Cluster 12560,7
12561,Cluster 12561,1
12562,Cluster 12562,4
12563,Cluster 12563,7
12564,Cluster 12564,1
12565,Cluster 12565,4
12566,Cluster 12566,1
12567,Cluster 12567,2
12568,Cluster 12568,2
12569,Cluster 12569,1
12570,Cluster 12570,1
12571,Cluster 12571,1
12572,Cluster 12572,1
12573,Cluster 12573,1
12574,Cluster 12574,1
12575,Cluster 12575,2
12576,Cluster 12576,4
12577,Cluster 12577,2
12578,Cluster 12578,1
12579,Cluster 12579,1
12580,Cluster 12580,1
12581,Cluster 12581,1
12582,Cluster 12582,63
12583,Cluster 12583,63
12584,Cluster 12584,17
12585,Cluster 12585,30
12586,Cluster 12586,35
12587,Cluster 12587,63
12588,Cluster 12588,63
12589,Cluster 12589,63
12590,Cluster 12590,2
12591,Cluster 12591,10
12592,Cluster 12592,6
12593,Cluster 12593,2
12594,Cluster 12594,9
12595,Cluster 12595,1
12596,Cluster 12596,4
12597,Cluster 12597,5
12598,Cluster 12598,15
12599,Cluster 12599,26
12600,Cluster 12600,23
12601,Cluster 12601,25
12602,Cluster 12602,5
12603,Cluster 12603,23
12604,Cluster 12604,2
12605,Cluster 12605,5
12606,Cluster 12606,1
12607,Cluster 12607,1
12608,Cluster 12608,3
12609,Cluster 12609,1
12610,Cluster 12610,2
12611,Cluster 12611,1
12612,Cluster 12612,1
12613,Cluster 12613,1
12614,Cluster 12614,2
12615,Cluster 12615,2
12616,Cluster 12616,2
12617,Cluster 12617,10
12618,Cluster 12618,1
12619,Cluster 12619,1
12620,Cluster 12620,1
12621,Cluster 12621,1
12622,Cluster 12622,1
12623,Cluster 12623,2
12624,Cluster 12624,2
12625,Cluster 12625,1
12626,Cluster 12626,2
12627,Cluster 12627,1
12628,Cluster 12628,1
12629,Cluster 12629,1
12630,Cluster 12630,2
12631,Cluster 12631,1
12632,Cluster 12632,1
12633,Cluster 12633,2
12634,Cluster 12634,1
12635,Cluster 12635,1
12636,Cluster 12636,1
12637,Cluster 12637,2
12638,Cluster 12638,1
12639,Cluster 12639,3
12640,Cluster 12640,1
12641,Cluster 12641,1
12642,Cluster 12642,1
12643,Cluster 12643,1
12644,Cluster 12644,1
12645,Cluster 12645,63
12646,Cluster 12646,63
12647,Cluster 12647,63
12648,Cluster 12648,63
12649,Cluster 12649,63
12650,Cluster 12650,63
12651,Cluster 12651,63
12652,Cluster 12652,8
12653,Cluster 12653,31
12654,Cluster 12654,7
12655,Cluster 12655,29
12656,Cluster 12656,28
12657,Cluster 12657,6
12658,Cluster 12658,12
12659,Cluster 12659,22
12660,Cluster 12660,10
12661,Cluster 12661,2
12662,Cluster 12662,13
12663,Cluster 12663,1
12664,Cluster 12664,8
12665,Cluster 12665,3
12666,Cluster 12666,1
12667,Cluster 12667,1
12668,Cluster 12668,7
12669,Cluster 12669,1
12670,Cluster 12670,2
12671,Cluster 12671,3
12672,Cluster 12672,2
12673,Cluster 12673,1
12674,Cluster 12674,1
12675,Cluster 12675,5
12676,Cluster 12676,1
12677,Cluster 12677,1
12678,Cluster 12678,7
12679,Cluster 12679,5
12680,Cluster 12680,1
12681,Cluster 12681,1
12682,Cluster 12682,1
12683,Cluster 12683,1
12684,Cluster 12684,1
12685,Cluster 12685,1
12686,Cluster 12686,2
12687,Cluster 12687,2
12688,Cluster 12688,60
12689,Cluster 12689,2
12690,Cluster 12690,1
12691,Cluster 12691,2
12692,Cluster 12692,1
12693,Cluster 12693,1
12694,Cluster 12694,1
12695,Cluster 12695,1
12696,Cluster 12696,2
12697,Cluster 12697,1
12698,Cluster 12698,1
12699,Cluster 12699,1
12700,Cluster 12700,1
12701,Cluster 12701,1
12702,Cluster 12702,1
12703,Cluster 12703,63
12704,Cluster 12704,63
12705,Cluster 12705,63
12706,Cluster 12706,33
12707,Cluster 12707,1
12708,Cluster 12708,12
12709,Cluster 12709,3
12710,Cluster 12710,63
12711,Cluster 12711,63
12712,Cluster 12712,3
12713,Cluster 12713,20
12714,Cluster 12714,17
12715,Cluster 12715,63
12716,Cluster 12716,4
12717,Cluster 12717,2
12718,Cluster 12718,1
12719,Cluster 12719,1
12720,Cluster 12720,15
12721,Cluster 12721,5
12722,Cluster 12722,1
12723,Cluster 12723,7
12724,Cluster 12724,2
12725,Cluster 12725,5
12726,Cluster 12726,5
12727,Cluster 12727,3
12728,Cluster 12728,1
12729,Cluster 12729,1
12730,Cluster 12730,5
12731,Cluster 12731,1
12732,Cluster 12732,2
12733,Cluster 12733,2
12734,Cluster 12734,1
12735,Cluster 12735,3
12736,Cluster 12736,1
12737,Cluster 12737,2
12738,Cluster 12738,2
12739,Cluster 12739,1
12740,Cluster 12740,1
12741,Cluster 12741,1
12742,Cluster 12742,1
12743,Cluster 12743,1
12744,Cluster 12744,1
12745,Cluster 12745,3
12746,Cluster 12746,2
12747,Cluster 12747,2
12748,Cluster 12748,1
12749,Cluster 12749,16
12750,Cluster 12750,3
12751,Cluster 12751,4
12752,Cluster 12752,1
12753,Cluster 12753,1
12754,Cluster 12754,1
12755,Cluster 12755,63
12756,Cluster 12756,63
12757,Cluster 12757,63
12758,Cluster 12758,62
12759,Cluster 12759,63
12760,Cluster 12760,6
12761,Cluster 12761,63
12762,Cluster 12762,6
12763,Cluster 12763,30
12764,Cluster 12764,11
12765,Cluster 12765,21
12766,Cluster 12766,13
12767,Cluster 12767,1
12768,Cluster 12768,38
12769,Cluster 12769,56
12770,Cluster 12770,30
12771,Cluster 12771,21
12772,Cluster 12772,22
12773,Cluster 12773,16
12774,Cluster 12774,20
12775,Cluster 12775,6
12776,Cluster 12776,9
12777,Cluster 12777,2
12778,Cluster 12778,1
12779,Cluster 12779,1
12780,Cluster 12780,2
12781,Cluster 12781,1
12782,Cluster 12782,2
12783,Cluster 12783,6
12784,Cluster 12784,1
12785,Cluster 12785,1
12786,Cluster 12786,1
12787,Cluster 12787,3
12788,Cluster 12788,1
12789,Cluster 12789,2
12790,Cluster 12790,4
12791,Cluster 12791,1
12792,Cluster 12792,6
12793,Cluster 12793,2
12794,Cluster 12794,2
12795,Cluster 12795,4
12796,Cluster 12796,2
12797,Cluster 12797,3
12798,Cluster 12798,1
12799,Cluster 12799,1
12800,Cluster 12800,6
12801,Cluster 12801,1
12802,Cluster 12802,4
12803,Cluster 12803,2
12804,Cluster 12804,1
12805,Cluster 12805,1
12806,Cluster 12806,1
12807,Cluster 12807,4
12808,Cluster 12808,2
12809,Cluster 12809,1
12810,Cluster 12810,1
12811,Cluster 12811,1
12812,Cluster 12812,2
12813,Cluster 12813,1
12814,Cluster 12814,1
12815,Cluster 12815,1
12816,Cluster 12816,1
12817,Cluster 12817,1
12818,Cluster 12818,63
12819,Cluster 12819,63
12820,Cluster 12820,63
12821,Cluster 12821,63
12822,Cluster 12822,62
12823,Cluster 12823,42
12824,Cluster 12824,20
12825,Cluster 12825,41
12826,Cluster 12826,52
12827,Cluster 12827,63
12828,Cluster 12828,15
12829,Cluster 12829,63
12830,Cluster 12830,2
12831,Cluster 12831,63
12832,Cluster 12832,17
12833,Cluster 12833,12
12834,Cluster 12834,57
12835,Cluster 12835,2
12836,Cluster 12836,2
12837,Cluster 12837,18
12838,Cluster 12838,3
12839,Cluster 12839,63
12840,Cluster 12840,12
12841,Cluster 12841,4
12842,Cluster 12842,1
12843,Cluster 12843,1
12844,Cluster 12844,5
12845,Cluster 12845,8
12846,Cluster 12846,16
12847,Cluster 12847,17
12848,Cluster 12848,5
12849,Cluster 12849,1
12850,Cluster 12850,5
12851,Cluster 12851,1
12852,Cluster 12852,3
12853,Cluster 12853,2
12854,Cluster 12854,2
12855,Cluster 12855,4
12856,Cluster 12856,1
12857,Cluster 12857,5
12858,Cluster 12858,1
12859,Cluster 12859,1
12860,Cluster 12860,1
12861,Cluster 12861,1
12862,Cluster 12862,1
12863,Cluster 12863,1
12864,Cluster 12864,1
12865,Cluster 12865,2
12866,Cluster 12866,2
12867,Cluster 12867,1
12868,Cluster 12868,1
12869,Cluster 12869,1
12870,Cluster 12870,1
12871,Cluster 12871,3
12872,Cluster 12872,1
12873,Cluster 12873,1
12874,Cluster 12874,1
12875,Cluster 12875,1
12876,Cluster 12876,1
12877,Cluster 12877,63
12878,Cluster 12878,63
12879,Cluster 12879,63
12880,Cluster 12880,2
12881,Cluster 12881,63
12882,Cluster 12882,63
12883,Cluster 12883,55
12884,Cluster 12884,7
12885,Cluster 12885,2
12886,Cluster 12886,3
12887,Cluster 12887,15
12888,Cluster 12888,9
12889,Cluster 12889,20
12890,Cluster 12890,2
12891,Cluster 12891,1
12892,Cluster 12892,5
12893,Cluster 12893,16
12894,Cluster 12894,32
12895,Cluster 12895,3
12896,Cluster 12896,15
12897,Cluster 12897,1
12898,Cluster 12898,4
12899,Cluster 12899,9
12900,Cluster 12900,4
12901,Cluster 12901,9
12902,Cluster 12902,2
12903,Cluster 12903,1
12904,Cluster 12904,1
12905,Cluster 12905,2
12906,Cluster 12906,1
12907,Cluster 12907,24
12908,Cluster 12908,23
12909,Cluster 12909,1
12910,Cluster 12910,2
12911,Cluster 12911,2
12912,Cluster 12912,2
12913,Cluster 12913,1
12914,Cluster 12914,1
12915,Cluster 12915,2
12916,Cluster 12916,2
12917,Cluster 12917,2
12918,Cluster 12918,1
12919,Cluster 12919,1
12920,Cluster 12920,1
12921,Cluster 12921,1
12922,Cluster 12922,1
12923,Cluster 12923,1
12924,Cluster 12924,1
12925,Cluster 12925,1
12926,Cluster 12926,33
12927,Cluster 12927,55
12928,Cluster 12928,63
12929,Cluster 12929,38
12930,Cluster 12930,63
12931,Cluster 12931,63
12932,Cluster 12932,12
12933,Cluster 12933,30
12934,Cluster 12934,55
12935,Cluster 12935,30
12936,Cluster 12936,12
12937,Cluster 12937,22
12938,Cluster 12938,2
12939,Cluster 12939,10
12940,Cluster 12940,4
12941,Cluster 12941,1
12942,Cluster 12942,6
12943,Cluster 12943,7
12944,Cluster 12944,23
12945,Cluster 12945,19
12946,Cluster 12946,2
12947,Cluster 12947,2
12948,Cluster 12948,1
12949,Cluster 12949,1
12950,Cluster 12950,1
12951,Cluster 12951,5
12952,Cluster 12952,8
12953,Cluster 12953,1
12954,Cluster 12954,15
12955,Cluster 12955,3
12956,Cluster 12956,2
12957,Cluster 12957,1
12958,Cluster 12958,1
12959,Cluster 12959,8
12960,Cluster 12960,2
12961,Cluster 12961,1
12962,Cluster 12962,1
12963,Cluster 12963,1
12964,Cluster 12964,2
12965,Cluster 12965,2
12966,Cluster 12966,3
12967,Cluster 12967,1
12968,Cluster 12968,1
12969,Cluster 12969,3
12970,Cluster 12970,1
12971,Cluster 12971,1
12972,Cluster 12972,2
12973,Cluster 12973,1
12974,Cluster 12974,1
12975,Cluster 12975,1
12976,Cluster 12976,2
12977,Cluster 12977,3
12978,Cluster 12978,1
12979,Cluster 12979,1
12980,Cluster 12980,1
12981,Cluster 12981,1
12982,Cluster 12982,1
12983,Cluster 12983,1
12984,Cluster 12984,1
12985,Cluster 12985,1
12986,Cluster 12986,1
12987,Cluster 12987,3
12988,Cluster 12988,63
12989,Cluster 12989,63
12990,Cluster 12990,55
12991,Cluster 12991,37
12992,Cluster 12992,63
12993,Cluster 12993,63
12994,Cluster 12994,56
12995,Cluster 12995,7
12996,Cluster 12996,36
12997,Cluster 12997,3
12998,Cluster 12998,3
12999,Cluster 12999,3
13000,Cluster 13000,2
13001,Cluster 13001,5
13002,Cluster 13002,15
13003,Cluster 13003,1
13004,Cluster 13004,2
13005,Cluster 13005,7
13006,Cluster 13006,1
13007,Cluster 13007,2
13008,Cluster 13008,2
13009,Cluster 13009,11
13010,Cluster 13010,5
13011,Cluster 13011,6
13012,Cluster 13012,5
13013,Cluster 13013,1
13014,Cluster 13014,2
13015,Cluster 13015,3
13016,Cluster 13016,1
13017,Cluster 13017,1
13018,Cluster 13018,63
13019,Cluster 13019,2
13020,Cluster 13020,2
13021,Cluster 13021,2
13022,Cluster 13022,2
13023,Cluster 13023,3
13024,Cluster 13024,2
13025,Cluster 13025,1
13026,Cluster 13026,1
13027,Cluster 13027,5
13028,Cluster 13028,2
13029,Cluster 13029,1
13030,Cluster 13030,1
13031,Cluster 13031,2
13032,Cluster 13032,1
13033,Cluster 13033,1
13034,Cluster 13034,1
13035,Cluster 13035,1
13036,Cluster 13036,63
13037,Cluster 13037,63
13038,Cluster 13038,17
13039,Cluster 13039,63
13040,Cluster 13040,6
13041,Cluster 13041,62
13042,Cluster 13042,5
13043,Cluster 13043,63
13044,Cluster 13044,16
13045,Cluster 13045,2
13046,Cluster 13046,15
13047,Cluster 13047,15
13048,Cluster 13048,8
13049,Cluster 13049,2
13050,Cluster 13050,1
13051,Cluster 13051,3
13052,Cluster 13052,4
13053,Cluster 13053,1
13054,Cluster 13054,1
13055,Cluster 13055,7
13056,Cluster 13056,2
13057,Cluster 13057,3
13058,Cluster 13058,3
13059,Cluster 13059,1
13060,Cluster 13060,7
13061,Cluster 13061,3
13062,Cluster 13062,3
13063,Cluster 13063,1
13064,Cluster 13064,2
13065,Cluster 13065,1
13066,Cluster 13066,1
13067,Cluster 13067,2
13068,Cluster 13068,1
13069,Cluster 13069,1
13070,Cluster 13070,31
13071,Cluster 13071,1
13072,Cluster 13072,1
13073,Cluster 13073,1
13074,Cluster 13074,1
13075,Cluster 13075,63
13076,Cluster 13076,63
13077,Cluster 13077,63
13078,Cluster 13078,63
13079,Cluster 13079,10
13080,Cluster 13080,54
13081,Cluster 13081,45
13082,Cluster 13082,12
13083,Cluster 13083,8
13084,Cluster 13084,9
13085,Cluster 13085,3
13086,Cluster 13086,2
13087,Cluster 13087,1
13088,Cluster 13088,6
13089,Cluster 13089,46
13090,Cluster 13090,3
13091,Cluster 13091,22
13092,Cluster 13092,11
13093,Cluster 13093,7
13094,Cluster 13094,2
13095,Cluster 13095,6
13096,Cluster 13096,2
13097,Cluster 13097,1
13098,Cluster 13098,1
13099,Cluster 13099,1
13100,Cluster 13100,1
13101,Cluster 13101,4
13102,Cluster 13102,1
13103,Cluster 13103,11
13104,Cluster 13104,5
13105,Cluster 13105,11
13106,Cluster 13106,9
13107,Cluster 13107,4
13108,Cluster 13108,7
13109,Cluster 13109,7
13110,Cluster 13110,5
13111,Cluster 13111,5
13112,Cluster 13112,6
13113,Cluster 13113,5
13114,Cluster 13114,2
13115,Cluster 13115,1
13116,Cluster 13116,1
13117,Cluster 13117,94
13118,Cluster 13118,1
